@id,@lon,@lat,name,operator,manufacturer,manufacturer:type,generator:manufacturer,generator:type,generator:output:electricity,power_rating,rotor:diameter,height,ref,note
96080997,9.4080090,53.8889942,,,,,,,600 kW,,,,V-2111,WEA V-2111 600 kW
96080998,9.4102572,53.8869398,,,,,,,600 kW,,,,V-2108,WEA V-2108 600 kW
96515092,4.3721403,50.9969267,3,,,,,,,,,,,
96515093,4.3734965,50.9956889,2,,,,,,,,,,,
96515095,4.3749067,50.9944290,1,,,,,,,,,,,
98218372,12.1130487,49.0570831,,,,,,,,,,,,
99485448,10.3267897,53.8063562,,,,,,,0.5 MW,1500 kW,,,,Enercon E 40 - 500 kW  Stormarn-Wind Energie GmbH  NH:65 m  RD:40.2 m
99485451,10.3277491,53.8043781,,,,,,,0.5 MW,1500 kW,,,,Enercon E 40 - 500 kW  Stormarn-Wind Energie GmbH  NH:65 m  RD:40.2 m
100052287,6.1462340,50.9645630,,,,,,,,,,,,
100058860,6.2150530,50.9324733,,,,,,,,,,,,
100070312,6.2188350,50.9792510,,,,,,,,,,,,
100070313,6.2277311,50.9867606,,,,,,,,,,,,
100070314,6.2186690,51.0069380,,,,,,,,,,,,
100070315,6.2177360,51.0081890,,,,,,,,,,,,
100073809,6.2174700,51.0095760,,,,,,,,,,,,
100073810,6.2208131,51.0095288,,,,,,,,,,,,
100398446,4.1162779,51.7082521,,,,,,,,,,,,
102628266,8.0869266,50.8959801,,,,,,,,,,,,
105611212,7.2251835,53.5381571,,,Enercon,E-70,,,,,,,,
105611401,7.2219562,53.5369481,,,Enercon,E-70,,,,,,,,
105611450,7.2266769,53.5403350,,,Enercon,E-70,,,,,,,,
114295079,6.3092610,51.2246130,,,,,,,,,,,,
114295085,6.3005030,51.2262600,,,,,,,,,,,,
114295090,6.2992200,51.2278450,,,,,,,,,,,,
115278974,13.5743412,51.0604432,,,,,,,1000 kW,,,,NX-9013,
117664476,7.2330971,53.5313622,,,Enercon,E-70,,,,,,,,
117664506,7.2193813,53.5301225,,,Enercon,E-66,,,,,,,,
117664553,7.2257020,53.5358053,,,Enercon,E-70,,,,,,,,
117664584,7.2210464,53.5351322,,,Enercon,E-66,,,,,,,,
117680146,7.2183599,53.5334641,,,Enercon,E-66,,,,,,,,
117680151,7.2218189,53.5330814,,,Enercon,E-66,,,,,,,,
117680157,7.2239218,53.5290715,,,Enercon,E-66,,,,,,,,
117680162,7.2280588,53.5309337,,,Enercon,E-70,,,,,,,,
117680173,7.2296552,53.5337191,,,Enercon,E-70,,,,,,,,
117680182,7.2253122,53.5330049,,,Enercon,E-70,,,,,,,,
123714220,7.2231321,53.5308164,,,Enercon,E-66,,,,,,,,
126631377,9.6765301,53.5768458,,,,,,,,,,,,
130352207,6.3580731,51.6237510,,,,,,,,,,,,
130352226,6.3582340,51.6216345,,,,,,,,,,,,
148526060,4.1645791,51.6889679,,,,,,,,,,,,
158710040,8.7189642,52.1451614,,,,,,,,,,,,
161839399,6.0299084,50.8098189,,,,,,,,,,,,
161839401,6.0282356,50.8119246,,,,,,,,,,,,
161839402,6.0227941,50.8106838,,,,,,,,,,,,
161839404,6.0251722,50.8087162,,,,,,,,,,,,
161839407,6.0178905,50.8086727,,,,,,,,,,,,
161839412,6.0207535,50.8069063,Besucherwindanlage Windfang,,,,,,,,,,,
161839415,6.0236314,50.8051434,,,,,,,,,,,,
162034865,6.0266300,50.8141320,,,,,,,,,,,,
162034872,6.0250750,50.8162129,,,,,,,,,,,,
173540333,8.8298645,53.1165290,,,,,,,,,,,,
173540340,8.8265920,53.1166578,,,,,,,,,,,,
173540343,8.8216674,53.1169089,,,,,,,,,,,,
173777122,12.9481547,48.7353479,Bretzenstein,,,,,,,,,,,
173777130,12.9436920,48.7354610,Bretzenstein,,,,,,,,,,,
183080280,9.4896537,53.3718386,,,,,,,,,,,,
183080452,9.4893790,53.3732110,,,,,,,,,,,,
183080551,9.4890357,53.3747984,,,,,,,,,,,,
183080851,9.4935504,53.3724483,,,,,,,,,,,,
183080940,9.4934131,53.3740149,,,,,,,,,,,,
183081020,9.4930869,53.3753104,,,,,,,,,,,,
183081073,9.4927522,53.3767646,,,,,,,,,,,,
183081177,9.4884864,53.3764215,,,,,,,,,,,,
183081240,9.4882461,53.3781624,,,,,,,,,,,,
183081388,9.4923488,53.3782648,,,,,,,,,,,,
183081479,9.4920655,53.3796318,,,,,,,,,,,,
183081650,9.4870874,53.3804664,,,,,,,,,,,,
183081716,9.4964515,53.3781522,,,,,,,,,,,,
183081774,9.4967776,53.3768824,,,,,,,,,,,,
183081869,9.4971639,53.3752336,,,,,,,,,,,,
183082018,9.5032579,53.3771793,,,,,,,,,,,,
183082125,9.5004769,53.3723098,,,,,,,,,,,,
183082199,9.4900485,53.3702153,,,,,,,,,,,,
183084178,9.4851733,53.3719475,,,,,,,,,,,,
183084250,9.4853879,53.3700207,,,,,,,,,,,,
183084323,9.4852162,53.3682795,,,,,,,,,,,,
183084453,9.4851304,53.3666663,,,,,,,,,,,,
183084539,9.4989062,53.3688173,,,,,,,,,,,,
183084662,9.5050002,53.3675881,,,,,,,,,,,,
199101749,13.4528883,50.9885794,,,,,,,,,,,,
199102483,13.4533214,50.9898708,,,,,,,,,,,,
201025393,9.7515440,53.3550036,,,,,,,,,,,,
201025546,9.7563549,53.3549335,,,,,,,,,,,,
201031479,9.7879702,53.3648349,,,,,,,,,,,,
201031809,9.7951448,53.3658222,,,,,,,,,,,,
201040511,9.7924917,53.3614053,,,,,,,,,,,,
201040564,9.7884087,53.3672097,,,,,,,,,,,,
218475074,9.7850547,53.4451562,,,,,,,,,,,,
218475142,9.7856499,53.4467072,,,,,,,,,,,,
218475322,9.7842862,53.4480417,,,,,,,,,,,,
220148099,17.3877730,48.5709759,Veterná elektráren Cerová,,,,,,,,,,,
231306773,4.6660306,52.2465943,,,,,,,,,,,,
240203985,10.0362807,49.7733351,,,,,,,,,,,,
241889969,16.2263485,48.4130430,,,,,,,,,,,,
241889986,16.2274260,48.4146129,,,,,,,,,,,,
241890087,16.2295736,48.4177571,,,,,,,,,,,,
243014604,6.8750688,49.7494183,,,,,,,,,,,,
245019095,6.2460979,51.6950431,D 60047,,,,,,,,,,03 WEA 60047,
245019105,6.2381950,51.6955393,D 60044,,,,,,,,,,,
245020244,6.2348386,51.7011572,,,,,,,,,,,,
245965707,12.2590601,51.2604067,,,,,,,,,,,,
245965708,12.2585836,51.2583639,,,,,,,,,,,,
245965714,12.2566634,51.2647827,,,,,,,,,,,,
245965715,12.2525095,51.2640967,,,,,,,,,,,,
245965720,12.2561196,51.2670813,,,,,,,,,,,,
245965722,12.2525582,51.2663519,,,,,,,,,,,,
246130025,12.2766478,51.2855813,,,,,,,,,,,,
246130044,12.2820723,51.2861825,,,,,,,,,,,,
246689713,12.2619424,51.0989125,,,,,,,,,,,,
246689988,12.2674527,51.0986141,,,,,,,,,,,,
246690307,12.2719588,51.0985170,,,,,,,,,,,,
246690309,12.2757611,51.0983607,,,,,,,,,,,,
247039248,12.3750143,51.4539904,,,,,,,600 kW,,,,V-2677,
247039548,12.3815361,51.4618151,,,,,,,660 kW,660 kW,,,V-1733,
247042296,12.4042040,51.5014180,,,,,,,,,,,,
247880048,10.6687057,52.3996198,,,,,,,,,,,,
247880049,10.6689042,52.3982871,,,,,,,,,,,,
247880050,10.6690977,52.3969445,,,,,,,,,,,,
247881330,5.1296636,52.3816877,,,,,,,,,,,,
247881379,5.1267224,52.3784524,,,,,,,,,,,,
247881421,5.1238702,52.3751432,,,,,,,,,,,,
247929061,5.1329283,52.3781753,,,,,,,,,,,,
248178563,6.6061446,51.0627479,,,,,,,,,,,,
248462684,8.5479671,52.1797899,,,,,,,,,,,,
248731899,11.6868035,52.1974611,,,Enercon,E-70 E4,,,,,,,,
248743147,8.1789621,52.2353742,,,,,,,,,,,,
248885456,6.1785207,51.5708460,NX 70421,,,,,,,,,,NX 70421,
248885461,6.1779525,51.5682310,D 50266,,,,,,,,,,,
249218513,6.2323590,51.6901459,,,,,,,,,,,,
249754882,13.6026010,50.9955333,Windkraftanlage,,,,,,yes,,,,,
249757812,9.6301301,53.6879089,,,,,,,,,,,,
249757850,9.6326878,53.6872125,,,,,,,,,,,,
249758102,9.6333316,53.6913803,,,,,,,,,,,,
249758107,9.6288684,53.6919800,,,,,,,,,,,,
249758115,9.6283791,53.6935148,,,,,,,,,,,,
249864576,8.9851013,52.3033757,,,,,,,,,,,,
250055504,11.7998466,54.7455796,,,,,,,yes,,,,,
250056719,11.7802977,54.7421658,,,,,,,yes,,,,,
250067616,11.6709466,54.7125855,,,,,,,yes,,,,,
250197413,5.4107802,52.4123979,,,,,,,,,,,,
250197498,5.4068063,52.4160521,,,,,,,,,,,,
250197499,5.4137328,52.4137172,,,,,,,,,,,,
250197508,5.4099391,52.4172561,,,,,,,,,,,,
250197509,5.3938201,52.4050834,,,,,,,,,,,,
250197540,5.3907731,52.4038005,,,,,,,,,,,,
250199118,5.3821784,52.3944518,,,,,,,,,,,,
250199120,5.3778587,52.3983952,,,,,,,,,,,,
250199122,5.3749676,52.3971292,,,,,,,,,,,,
250199123,5.3737459,52.4021150,,,,,,,,,,,,
